,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,log_koi_period,log_koi_time0bk,log_koi_impact,log_koi_duration,log_koi_depth,log_koi_prad,log_koi_teq,log_koi_insol,log_koi_model_snr,log_koi_tce_plnt_num,log_koi_steff,log_koi_slogg,log_koi_srad,log_ra,log_dec,log_koi_kepmag
1827,FALSE POSITIVE,0,0,1,0,-0.3958101149508882,-0.5686589034299412,0.41800392423175436,-0.8186063603831014,-0.37649640897509007,-0.7306271148234581,-0.05523306672111694,-0.055622771973734955,-0.5149412126654371,-0.4043304642032598,-0.7896452491117111,0.4056215411400252,-0.7186122394449165,0.07024438721130098,-1.2397479533457052,0.5004222470815486
1828,CANDIDATE,0,0,0,0,0.5862233405657853,-0.5331860337389454,-1.9388252708444957,-0.11462740463730534,-0.36252154258504143,-0.5328080446023693,-0.4590182095178433,-0.45995100235574105,-0.5684053530021757,-0.4043304642032598,0.8172672176013892,0.2578392793249047,-0.17476251739010507,-0.23389498465400765,1.123607944673385,0.37944617697945815
1829,CANDIDATE,0,0,0,0,0.2212197422283694,-0.38987310248872503,0.7612372115984841,-0.07119973205027615,-0.02872128956693747,-0.48585458319423175,-0.9433500717539506,-0.9445502307611343,-0.5218020853758385,-0.4043304642032598,-1.5847802737990861,0.6270695373152005,-1.2540330873487526,1.085416073554258,-0.15871279823045462,1.0395490580207907
1830,FALSE POSITIVE,0,1,1,0,-1.0839157903966044,-0.5958165641281277,-0.33785888599468156,-1.285299746424621,-1.1420273272651638,-0.6352158390097695,1.5275491336018012,1.5266620122675116,-0.5834998967446103,-0.4043304642032598,0.6932561965649405,-0.6583456353693788,1.0405015829561346,1.0947524788053065,1.2127772435063522,-0.7662165930765467
1831,CONFIRMED,0,0,0,0,0.5290619507433473,0.43106003468392506,0.28204465513573546,0.9375166626000095,0.25093263346116834,0.18553152562359934,-0.1771916355704083,-0.1770761356751329,1.0707898337689663,-0.4043304642032598,0.6661526008137945,-0.16463779668568768,0.505323159456071,0.7168910719285477,1.8933346972919112,-1.93685562874563
1832,CANDIDATE,0,0,0,0,-0.9279817414610882,-0.5735358175370253,0.7530504266455221,-2.0122192544262054,-0.2802179677591793,-0.3414771888299477,0.7006269471482534,0.7011261954181887,-0.1824571201092475,-0.4043304642032598,0.11925076226294645,0.32723382636191567,-0.31704881768930365,0.0803812571904584,-1.5406310131729453,0.2569769957519607
1833,FALSE POSITIVE,0,0,1,1,-1.5512738729138424,-0.6019262033359598,0.8865856942212393,-0.6350302948490697,-0.8352002830621688,1.1519223465494675,1.784145527314991,1.7861322082477362,-0.1804937027644907,-0.4043304642032598,1.0546252726377452,-0.20434108614531318,0.5348676131904132,1.5436154710020644,-0.9224488410864831,-0.9713548237575784
1834,FALSE POSITIVE,0,1,0,0,-1.5812322493482178,-0.618161158809609,0.8884490337864877,-0.6558568171597646,-0.5892079834804138,1.493324096735887,2.007423393016278,2.0093449086967805,0.09114374352228377,-0.4043304642032598,0.17529126370051243,-0.9427683291943567,1.3591868715335798,1.4531615374623827,-0.6163530210312221,-0.3255518132430067
1835,FALSE POSITIVE,0,1,1,1,-1.3285355834960926,-0.599831628520724,-0.06396440835137666,-0.8833341637907098,-0.9966877591929856,-0.41478344536506206,1.8841761264639074,1.8855016033556125,-0.4321934625487957,-0.4043304642032598,0.9662824904564195,-0.7679064117678611,1.3353627928577392,1.5685270893662542,1.0196074205193124,-1.4189628649151516
1836,FALSE POSITIVE,0,1,1,1,0.4737971035890912,0.003679050164024918,0.5464368780450765,0.5449259721250891,-0.45508052364333423,-0.5801230417705191,-0.3783884480108465,-0.3774710291657315,-0.2467244571235988,-0.4043304642032598,0.8006364024982539,0.27632433441430754,-0.22565392733470638,1.2311609939297132,-1.0972788877709985,-0.24286930092223824
